Stkcd	Trddt	Clsprc
000899	2022-01-26	5.080
000900	2022-01-25	4.040
000900	2022-01-26	4.040
000901	2022-01-25	9.280
000901	2022-01-26	9.310
000902	2022-01-25	15.860
000902	2022-01-26	15.860
000903	2022-01-25	3.330
000903	2022-01-26	3.370
000905	2022-01-25	6.760
000905	2022-01-26	6.990
000906	2022-01-25	11.190
000906	2022-01-26	11.410
000908	2022-01-25	3.850
000908	2022-01-26	3.870
000909	2022-01-25	7.460
000909	2022-01-26	7.410
000910	2022-01-25	13.100
000910	2022-01-26	13.010
000911	2022-01-25	9.170
000911	2022-01-26	9.210
000912	2022-01-25	5.270
000912	2022-01-26	5.410
000913	2022-01-25	13.180
000913	2022-01-26	13.350
000915	2022-01-25	30.660
000915	2022-01-26	29.880
000917	2022-01-25	5.850
000917	2022-01-26	5.870
000918	2022-01-25	2.520
000918	2022-01-26	2.600
000919	2022-01-25	6.770
000919	2022-01-26	6.730
000920	2022-01-25	9.640
000920	2022-01-26	9.630
000921	2022-01-25	15.790
000921	2022-01-26	16.290
000922	2022-01-25	10.300
000922	2022-01-26	10.790
000923	2022-01-25	15.290
000923	2022-01-26	15.000
000925	2022-01-25	8.000
000925	2022-01-26	8.170
000926	2022-01-25	4.170
000926	2022-01-26	4.250
000927	2022-01-25	3.300
000927	2022-01-26	3.310
000928	2022-01-25	7.900
000928	2022-01-26	8.030
000929	2022-01-25	8.630
000929	2022-01-26	8.640
000930	2022-01-25	9.830
000930	2022-01-26	9.890
000931	2022-01-25	6.510
000931	2022-01-26	6.620
000932	2022-01-25	5.450
000932	2022-01-26	5.530
000933	2022-01-25	10.880
000933	2022-01-26	11.340
000935	2022-01-25	22.540
000935	2022-01-26	22.860
000936	2022-01-25	5.710
000936	2022-01-26	5.750
000937	2022-01-25	5.230
000937	2022-01-26	5.210
000938	2022-01-25	22.520
000938	2022-01-26	22.390
000948	2022-01-25	17.200
000948	2022-01-26	17.620
000949	2022-01-25	5.110
000949	2022-01-26	5.290
000950	2022-01-25	4.750
000950	2022-01-26	4.760
000951	2022-01-25	14.140
000951	2022-01-26	14.020
000952	2022-01-25	7.150
000952	2022-01-26	7.130
000953	2022-01-25	5.680
000953	2022-01-26	5.310
000955	2022-01-25	4.680
000955	2022-01-26	4.710
000957	2022-01-25	5.110
000957	2022-01-26	5.160
000958	2022-01-25	4.350
000958	2022-01-26	4.410
000959	2022-01-25	5.710
000959	2022-01-26	5.770
000960	2022-01-25	20.750
000960	2022-01-26	21.110
000961	2022-01-25	4.590
000961	2022-01-26	4.570
000962	2022-01-25	10.240
000962	2022-01-26	10.420
000963	2022-01-25	36.010
000963	2022-01-26	36.020
000965	2022-01-25	2.650
000965	2022-01-26	2.700
000966	2022-01-25	6.030
000966	2022-01-26	6.060
000967	2022-01-25	6.130
000967	2022-01-26	6.190
000968	2022-01-25	8.310
000968	2022-01-26	8.280
000969	2022-01-25	8.890
000969	2022-01-26	9.050
000970	2022-01-25	13.320
000970	2022-01-26	13.560
000971	2022-01-25	2.270
000971	2022-01-26	2.260
000972	2022-01-25	2.610
000972	2022-01-26	2.640
000973	2022-01-25	4.490
000973	2022-01-26	4.560
000975	2022-01-25	9.110
000975	2022-01-26	8.820
000976	2022-01-25	4.750
000976	2022-01-26	4.840
000977	2022-01-25	35.450
000977	2022-01-26	35.020
000978	2022-01-25	6.100
000978	2022-01-26	5.940
000980	2022-01-25	4.910
000980	2022-01-26	5.160
000981	2022-01-25	3.090
000981	2022-01-26	3.130
000982	2022-01-25	3.070
000982	2022-01-26	3.100
000983	2022-01-25	8.700
000983	2022-01-26	8.520
000985	2022-01-25	12.980
000985	2022-01-26	12.990
000987	2022-01-25	8.230
000987	2022-01-26	8.400
000988	2022-01-25	24.870
000988	2022-01-26	24.890
000989	2022-01-25	9.230
000989	2022-01-26	9.150
000990	2022-01-25	14.110
000990	2022-01-26	13.370
000993	2022-01-25	10.910
000993	2022-01-26	11.110
000995	2022-01-25	21.270
000995	2022-01-26	20.650
000996	2022-01-25	7.140
000996	2022-01-26	7.250
000997	2022-01-25	17.320
000997	2022-01-26	17.800
000998	2022-01-25	18.350
000998	2022-01-26	18.960
000999	2022-01-25	36.610
000999	2022-01-26	35.930
001201	2022-01-25	35.090
001201	2022-01-26	35.160
001202	2022-01-25	16.670
001202	2022-01-26	16.840
001203	2022-01-25	14.430
001203	2022-01-26	14.500
001205	2022-01-25	29.730
001205	2022-01-26	29.020
001206	2022-01-25	41.470
001206	2022-01-26	41.800
001207	2022-01-25	19.890
001207	2022-01-26	19.710
001208	2022-01-25	12.820
001208	2022-01-26	12.880
001209	2022-01-25	23.400
001209	2022-01-26	23.790
001210	2022-01-25	30.330
001210	2022-01-26	30.730
001211	2022-01-25	27.370
001211	2022-01-26	27.600
001212	2022-01-25	30.050
001212	2022-01-26	30.240
001213	2022-01-25	5.230
001213	2022-01-26	5.250
001215	2022-01-25	49.320
001215	2022-01-26	48.830
001216	2022-01-25	14.910
001216	2022-01-26	14.970
001217	2022-01-25	18.030
001217	2022-01-26	17.940
001218	2022-01-25	40.400
001218	2022-01-26	40.680
001219	2022-01-25	28.390
001219	2022-01-26	28.100
001227	2022-01-25	5.830
001227	2022-01-26	5.300
001234	2022-01-25	38.480
001234	2022-01-26	34.630
001267	2022-01-25	6.110
001267	2022-01-26	6.220
001288	2022-01-25	15.900
001288	2022-01-26	16.020
001289	2022-01-25	23.700
001289	2022-01-26	26.070
001296	2022-01-25	36.360
001296	2022-01-26	34.470
001317	2022-01-25	58.840
001317	2022-01-26	56.250
001696	2022-01-25	6.390
001696	2022-01-26	6.470
001872	2022-01-25	16.220
001872	2022-01-26	16.480
001896	2022-01-25	6.100
001896	2022-01-26	6.160
001914	2022-01-25	17.640
001914	2022-01-26	17.970
001965	2022-01-25	8.030
001965	2022-01-26	8.100
001979	2022-01-25	13.470
001979	2022-01-26	13.400
002001	2022-01-25	31.940
002001	2022-01-26	31.780
002002	2022-01-25	5.110
002002	2022-01-26	5.230
002003	2022-01-25	12.870
002003	2022-01-26	13.250
002004	2022-01-25	6.280
002004	2022-01-26	6.280
002005	2022-01-25	1.690
002005	2022-01-26	1.710
002006	2022-01-25	20.090
002006	2022-01-26	20.100
002007	2022-01-25	26.020
002007	2022-01-26	26.240
002008	2022-01-25	47.700
002008	2022-01-26	48.420
002009	2022-01-25	16.680
002009	2022-01-26	16.850
002010	2022-01-25	7.780
002010	2022-01-26	8.040
002011	2022-01-25	11.550
002011	2022-01-26	12.030
002012	2022-01-25	5.360
002012	2022-01-26	5.440
002013	2022-01-25	12.500
002013	2022-01-26	12.470
002014	2022-01-25	8.260
002014	2022-01-26	8.310
002015	2022-01-25	16.300
002015	2022-01-26	16.380
002016	2022-01-25	5.330
002016	2022-01-26	5.380
002017	2022-01-25	14.770
002017	2022-01-26	15.220
002019	2022-01-25	18.030
002019	2022-01-26	17.660
002020	2022-01-25	8.610
002020	2022-01-26	8.610
002021	2022-01-25	2.220
002021	2022-01-26	2.220
